year,month,file,row_count,date,mom_change,mom_change_pct
2023,6,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2023/yellow_tripdata_2023-06.parquet,3307234,2023-06-01,-206415.0,-5.874661925536673
2023,7,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2023/yellow_tripdata_2023-07.parquet,2907108,2023-07-01,-400126.0,-12.098508905024563
2023,8,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2023/yellow_tripdata_2023-08.parquet,2824209,2023-08-01,-82899.0,-2.8515968446992668
2023,9,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2023/yellow_tripdata_2023-09.parquet,2846722,2023-09-01,22513.0,0.7971435541774596
2023,10,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2023/yellow_tripdata_2023-10.parquet,3522285,2023-10-01,675563.0,23.73126002468804
2023,11,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2023/yellow_tripdata_2023-11.parquet,3339715,2023-11-01,-182570.0,-5.183283010886397
2023,12,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2023/yellow_tripdata_2023-12.parquet,3376567,2023-12-01,36852.0,1.1034474498572422
2024,1,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2024/yellow_tripdata_2024-01.parquet,2964624,2024-01-01,-411943.0,-12.200054078595212
2024,2,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2024/yellow_tripdata_2024-02.parquet,3007526,2024-02-01,42902.0,1.447131238227839
2024,3,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2024/yellow_tripdata_2024-03.parquet,3582628,2024-03-01,575102.0,19.122095702580786
2024,4,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2024/yellow_tripdata_2024-04.parquet,3514289,2024-04-01,-68339.0,-1.9075103527354753
2024,5,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2024/yellow_tripdata_2024-05.parquet,3723833,2024-05-01,209544.0,5.962628571526141
2024,6,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2024/yellow_tripdata_2024-06.parquet,3539193,2024-06-01,-184640.0,-4.958331912306491
2024,7,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2024/yellow_tripdata_2024-07.parquet,3076903,2024-07-01,-462290.0,-13.062017245174252
2024,8,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2024/yellow_tripdata_2024-08.parquet,2979183,2024-08-01,-97720.0,-3.175920722882719
2024,9,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2024/yellow_tripdata_2024-09.parquet,3633030,2024-09-01,653847.0,21.947191562250445
2024,10,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2024/yellow_tripdata_2024-10.parquet,3833771,2024-10-01,200741.0,5.525442949824244
2024,11,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2024/yellow_tripdata_2024-11.parquet,3646369,2024-11-01,-187402.0,-4.8881897223386535
2024,12,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2024/yellow_tripdata_2024-12.parquet,3668371,2024-12-01,22002.0,0.6033947743632195
2025,1,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2025/yellow_tripdata_2025-01.parquet,3475226,2025-01-01,-193145.0,-5.26514357462754
2025,2,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2025/yellow_tripdata_2025-02.parquet,3577543,2025-02-01,102317.0,2.9441826229430923
2025,3,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2025/yellow_tripdata_2025-03.parquet,4145257,2025-03-01,567714.0,15.868823938664045
2025,4,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2025/yellow_tripdata_2025-04.parquet,3970553,2025-04-01,-174704.0,-4.214551715370119
2025,5,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2025/yellow_tripdata_2025-05.parquet,4591845,2025-05-01,621292.0,15.647492931085427
2025,6,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2025/yellow_tripdata_2025-06.parquet,4322960,2025-06-01,-268885.0,-5.855707237504748
2025,7,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2025/yellow_tripdata_2025-07.parquet,3898963,2025-07-01,-423997.0,-9.808025056905457
2025,8,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2025/yellow_tripdata_2025-08.parquet,3574091,2025-08-01,-324872.0,-8.332266810431388
2025,9,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2025/yellow_tripdata_2025-09.parquet,4251015,2025-09-01,676924.0,18.939752793087816
2025,10,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2025/yellow_tripdata_2025-10.parquet,4428699,2025-10-01,177684.0,4.179801764990243
2025,11,/home/sleepylee/Desktop/0proj/de_winter_proj/data/taxi_data/2025/yellow_tripdata_2025-11.parquet,4181444,2025-11-01,-247255.0,-5.583016592457513
